"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status","loan_status","default"
1,17625,18.49,"D","D2","3 years",12002,88.9,672,"RENT",45000,"Verified","Fully Paid","Paid"
2,2800,7.62,"A","A3","4 years",3897,73.5,727,"RENT",44500,"Not Verified","Fully Paid","Paid"
3,5375,15.31,"C","C2","3 years",6070,38.4,682,"OWN",22880,"Verified","Fully Paid","Paid"
4,20000,14.09,"B","B5","< 1 year",12174,49.9,702,"RENT",95000,"Verified","Fully Paid","Paid"
5,10000,12.12,"B","B3","10+ years",13547,88.6,707,"RENT",68000,"Not Verified","Fully Paid","Paid"
6,20000,18.49,"D","D2","10+ years",23178,87.8,677,"MORTGAGE",60000,"Verified","Fully Paid","Paid"
7,9500,14.33,"C","C2","10+ years",10647,56.9,667,"MORTGAGE",28212,"Not Verified","Fully Paid","Paid"
8,4000,13.68,"C","C1","10+ years",16904,77.5,687,"MORTGAGE",120000,"Source Verified","Fully Paid","Paid"
9,15000,15.22,"C","C3","10+ years",9635,86.8,702,"MORTGAGE",60000,"Source Verified","Fully Paid","Paid"
10,6000,13.67,"B","B5","7 years",24963,57.3,702,"MORTGAGE",56000,"Not Verified","Fully Paid","Paid"
11,12000,6.62,"A","A2",NA,23573,63.9,732,"RENT",80000,"Source Verified","Fully Paid","Paid"
12,10225,12.12,"B","B3","10+ years",14779,85.4,702,"RENT",35000,"Not Verified","Charged Off","Defaulted"
13,2400,13.11,"B","B4","1 year",2140,42,687,"RENT",112500,"Source Verified","Fully Paid","Paid"
14,20000,6.03,"A","A1","7 years",36534,63.8,747,"MORTGAGE",101929,"Verified","Fully Paid","Paid"
15,5000,14.98,"C","C3","10+ years",7357,85.5,707,"MORTGAGE",53000,"Verified","Fully Paid","Paid"
16,12050,6.03,"A","A1","8 years",5100,25.5,762,"MORTGAGE",115000,"Not Verified","Fully Paid","Paid"
17,15000,10.16,"B","B1","10+ years",19407,89,692,"MORTGAGE",95000,"Verified","Fully Paid","Paid"
18,15875,14.09,"B","B5","1 year",5517,44.5,692,"MORTGAGE",50000,"Source Verified","Charged Off","Defaulted"
19,11225,10.16,"B","B1","6 years",12712,45.5,712,"RENT",48000,"Verified","Fully Paid","Paid"
20,4500,10.16,"B","B1","3 years",4517,32.3,712,"RENT",49000,"Verified","Fully Paid","Paid"
21,12700,9.71,"B","B1","10+ years",13347,53,742,"MORTGAGE",61000,"Verified","Fully Paid","Paid"
22,11625,10.16,"B","B1","10+ years",30512,71.8,712,"MORTGAGE",57700,"Verified","Fully Paid","Paid"
23,10000,15.8,"C","C3","1 year",10632,74.9,702,"MORTGAGE",75000,"Not Verified","Fully Paid","Paid"
24,10000,13.67,"B","B5","5 years",9928,70.9,677,"RENT",29600,"Not Verified","Fully Paid","Paid"
25,16000,9.71,"B","B1","9 years",4391,10,802,"MORTGAGE",109000,"Not Verified","Fully Paid","Paid"
26,10625,18.49,"D","D2","4 years",14157,62.6,667,"RENT",32000,"Source Verified","Fully Paid","Paid"
27,7750,9.76,"B","B1","2 years",10642,26.9,722,"MORTGAGE",90000,"Not Verified","Fully Paid","Paid"
28,5375,17.1,"C","C5",NA,10679,38.7,707,"OWN",17959,"Verified","Fully Paid","Paid"
29,28000,7.62,"A","A3","4 years",6187,12.7,802,"OWN",320000,"Verified","Fully Paid","Paid"
30,30000,13.11,"B","B4","10+ years",17270,61.9,702,"MORTGAGE",90000,"Verified","Charged Off","Defaulted"
31,22000,8.9,"A","A5","5 years",22382,65.6,692,"MORTGAGE",1e+05,"Source Verified","Fully Paid","Paid"
32,11700,10.16,"B","B1","< 1 year",20317,65.1,717,"MORTGAGE",45000,"Source Verified","Fully Paid","Paid"
33,10000,13.11,"B","B4","8 years",17946,76.7,682,"MORTGAGE",52000,"Not Verified","Fully Paid","Paid"
34,6000,14.09,"B","B5","10+ years",6391,72.6,692,"RENT",68000,"Not Verified","Fully Paid","Paid"
35,4200,13.68,"C","C1","7 years",4031,35.7,702,"OWN",15000,"Not Verified","Charged Off","Defaulted"
36,11800,18.49,"D","D2","3 years",15841,94.2,672,"RENT",60000,"Source Verified","Fully Paid","Paid"
37,32000,14.09,"B","B5","1 year",21805,76.8,717,"RENT",78540,"Verified","Charged Off","Defaulted"
38,15600,8.9,"A","A5","8 years",29105,89.6,722,"RENT",59000,"Not Verified","Fully Paid","Paid"
39,14000,13.11,"B","B4","10+ years",21391,81.6,677,"MORTGAGE",103033.44,"Verified","Fully Paid","Paid"
40,6000,18.49,"D","D2","9 years",3858,42.4,677,"RENT",44000,"Not Verified","Fully Paid","Paid"
41,20000,6.03,"A","A1","10+ years",16035,30.6,757,"MORTGAGE",63164.48,"Verified","Fully Paid","Paid"
42,18000,11.55,"B","B3","10+ years",26840,45.4,702,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
43,1000,14.09,"B","B5","5 years",18679,71.5,667,"RENT",33600,"Not Verified","Fully Paid","Paid"
44,9000,17.77,"D","D1","3 years",8419,40.7,677,"RENT",53000,"Not Verified","Charged Off","Defaulted"
45,31500,12.12,"B","B3","9 years",31860,79.9,707,"MORTGAGE",2e+05,"Verified","Fully Paid","Paid"
46,8875,19.2,"D","D3","1 year",7521,66,687,"RENT",32500,"Verified","Charged Off","Defaulted"
47,16100,12.35,"B","B4","2 years",7043,65.2,682,"OWN",37000,"Not Verified","Fully Paid","Paid"
48,10000,14.3,"C","C1","10+ years",15218,57.6,672,"RENT",52000,"Verified","Fully Paid","Paid"
49,12000,13.99,"C","C1","10+ years",36186,83.2,692,"MORTGAGE",84450,"Not Verified","Charged Off","Defaulted"
50,11000,14.09,"B","B5","2 years",16440,52.2,697,"RENT",89000,"Verified","Charged Off","Defaulted"
51,3000,8.9,"A","A5","1 year",16067,67.8,722,"MORTGAGE",37000,"Verified","Fully Paid","Paid"
52,6000,10.99,"B","B2","4 years",2679,23.9,667,"RENT",60000,"Not Verified","In Grace Period","Defaulted"
53,10000,19.72,"D","D5","10+ years",13257,91.4,672,"RENT",66251,"Not Verified","Fully Paid","Paid"
54,16000,14.09,"B","B5","10+ years",29050,90.8,687,"RENT",69500,"Not Verified","Fully Paid","Paid"
55,6000,17.27,"C","C5","2 years",6097,95.3,672,"RENT",47320,"Not Verified","Fully Paid","Paid"
56,10000,10.16,"B","B1","7 years",20333,65.6,732,"MORTGAGE",102000,"Not Verified","Fully Paid","Paid"
57,8000,11.99,"B","B3",NA,14038,94.2,672,"MORTGAGE",69000,"Verified","Fully Paid","Paid"
58,12000,14.33,"C","C1","3 years",16528,84.8,687,"MORTGAGE",60000,"Not Verified","Fully Paid","Paid"
59,5600,13.11,"B","B4","4 years",11513,84.7,672,"MORTGAGE",70000,"Not Verified","Charged Off","Defaulted"
60,12000,8.9,"A","A5","10+ years",162,0.5,682,"MORTGAGE",99600,"Not Verified","Fully Paid","Paid"
61,13000,11.14,"B","B2","< 1 year",12980,34.3,722,"MORTGAGE",38500,"Source Verified","Fully Paid","Paid"
62,9000,11.14,"B","B2","7 years",9455,28.7,742,"RENT",31500,"Not Verified","Fully Paid","Paid"
63,30000,15.31,"C","C2","1 year",110552,24.1,772,"MORTGAGE",5e+05,"Verified","Fully Paid","Paid"
64,10000,17.77,"D","D1","10+ years",5668,59,667,"RENT",75000,"Source Verified","Fully Paid","Paid"
65,7200,19.52,"D","D4","2 years",4758,74.3,672,"RENT",62180,"Source Verified","Charged Off","Defaulted"
66,2500,20.31,"D","D5","8 years",55,0.8,767,"RENT",27000,"Source Verified","Fully Paid","Paid"
67,10000,15.31,"C","C2","6 years",25514,70.9,682,"OWN",60000,"Not Verified","Fully Paid","Paid"
68,15000,11.71,"B","B3","3 years",44179,19.2,707,"MORTGAGE",72000,"Verified","Charged Off","Defaulted"
69,8000,16.29,"C","C4","2 years",6753,79.4,672,"RENT",47000,"Not Verified","Fully Paid","Paid"
70,4000,13.98,"C","C1","10+ years",12010,70.2,682,"RENT",73000,"Source Verified","Fully Paid","Paid"
71,6000,15.31,"C","C2","1 year",3576,41.1,662,"RENT",90000,"Not Verified","Fully Paid","Paid"
72,9300,16.29,"C","C4","6 years",8035,85.5,672,"RENT",62270.82,"Verified","Fully Paid","Paid"
73,16800,15.31,"C","C3","2 years",29279,71.6,687,"RENT",78000,"Not Verified","Fully Paid","Paid"
74,14400,12.12,"B","B3",NA,34386,73.3,707,"MORTGAGE",75000,"Verified","Fully Paid","Paid"
75,13000,16.29,"C","C4","10+ years",16195,65.6,682,"RENT",62000,"Not Verified","Fully Paid","Paid"
76,5000,7.9,"A","A4","< 1 year",4045,43.5,722,"MORTGAGE",60000,"Source Verified","Fully Paid","Paid"
77,9000,14.33,"C","C1","5 years",12665,89.8,677,"MORTGAGE",85000,"Not Verified","Charged Off","Defaulted"
78,5500,11.14,"B","B2",NA,6542,22.3,742,"MORTGAGE",20000,"Verified","Charged Off","Defaulted"
79,6000,8.9,"A","A5","6 years",15707,65.2,707,"MORTGAGE",65000,"Not Verified","Fully Paid","Paid"
80,15000,12.12,"B","B3","7 years",11145,64.1,702,"MORTGAGE",50000,"Not Verified","Fully Paid","Paid"
81,10000,13.05,"B","B5","2 years",15871,53.6,677,"RENT",30000,"Not Verified","Charged Off","Defaulted"
82,15000,8.9,"A","A5","5 years",26870,56.4,687,"MORTGAGE",1e+05,"Verified","Fully Paid","Paid"
83,9750,12.12,"B","B3","10+ years",9604,77.5,712,"MORTGAGE",60000,"Not Verified","Fully Paid","Paid"
84,12250,18.75,"D","D3","2 years",27841,88.7,672,"RENT",40000,"Source Verified","Charged Off","Defaulted"
85,16000,7.62,"A","A3","10+ years",52832,49.8,742,"MORTGAGE",105000,"Source Verified","Fully Paid","Paid"
86,19375,6.62,"A","A2","10+ years",12905,25.2,772,"MORTGAGE",46288,"Verified","Fully Paid","Paid"
87,15000,6.62,"A","A2",NA,13193,63.7,712,"MORTGAGE",60000,"Source Verified","Fully Paid","Paid"
88,12000,12.12,"B","B3","5 years",9833,67.7,707,"RENT",45000,"Not Verified","Charged Off","Defaulted"
89,4000,10.65,"B","B2","< 1 year",1785,25.5,707,"RENT",42000,"Not Verified","Fully Paid","Paid"
90,11500,7.62,"A","A3","3 years",21996,26,782,"MORTGAGE",83000,"Verified","Fully Paid","Paid"
91,6000,19.05,"D","D4","< 1 year",1639,28.3,722,"RENT",56160,"Verified","Fully Paid","Paid"
92,3500,8.9,"A","A5","6 years",8399,43.1,742,"MORTGAGE",55000,"Not Verified","Fully Paid","Paid"
93,7000,13.11,"B","B4","9 years",19373,51.7,692,"MORTGAGE",35360,"Not Verified","Fully Paid","Paid"
94,6500,6.62,"A","A2","7 years",6673,20.9,737,"MORTGAGE",45600,"Not Verified","Fully Paid","Paid"
95,6000,15.31,"C","C2","2 years",18043,52.7,667,"MORTGAGE",75000,"Not Verified","Fully Paid","Paid"
96,30000,13.53,"B","B5","3 years",28121,67.6,667,"MORTGAGE",1e+05,"Verified","Fully Paid","Paid"
97,20000,14.33,"C","C1","1 year",17581,84.1,682,"RENT",150000,"Source Verified","Fully Paid","Paid"
98,6000,8.9,"A","A5","8 years",9814,32,702,"RENT",40000,"Not Verified","Fully Paid","Paid"
99,7500,6.03,"A","A1",NA,11760,54.2,762,"RENT",30000,"Source Verified","Fully Paid","Paid"
100,20000,7.62,"A","A3","10+ years",3178,4.5,802,"MORTGAGE",103000,"Verified","Fully Paid","Paid"
101,7750,13.11,"B","B4","1 year",20937,93.1,722,"MORTGAGE",38904,"Verified","Fully Paid","Paid"
102,9600,11.14,"B","B2","1 year",2747,19.5,702,"MORTGAGE",40000,"Not Verified","Fully Paid","Paid"
103,4000,21.98,"E","E4",NA,5421,72.3,662,"RENT",18000,"Verified","Fully Paid","Paid"
104,5000,13.67,"B","B5","5 years",16999,54.7,692,"MORTGAGE",68000,"Not Verified","Fully Paid","Paid"
105,6000,6.62,"A","A2",NA,21760,34.1,772,"MORTGAGE",50000,"Source Verified","Fully Paid","Paid"
