"id","loan_amnt","int_rate","grade","sub_grade","emp_length","revol_bal","revol_util","fico","home_ownership","annual_inc","verification_status"
10001,7000,12.12,"B","B3","5 years",7426,50.2,697,"RENT",38000,"Not Verified"
10002,35000,18.75,"D","D3","3 years",38030,84.1,702,"RENT",150000,"Verified"
10003,5500,17.27,"C","C5",NA,6523,67.2,662,"RENT",36000,"Source Verified"
10004,5750,11.14,"B","B2","1 year",3990,35,692,"RENT",103000,"Not Verified"
10005,7000,10.16,"B","B1","10+ years",8606,37.9,732,"MORTGAGE",37000,"Not Verified"
10006,5750,11.14,"B","B2","5 years",9367,48.3,687,"MORTGAGE",19440,"Verified"
10007,10000,7.9,"A","A4","10+ years",7616,38.7,722,"RENT",41000,"Not Verified"
10008,21000,11.55,"B","B3","3 years",22641,83.9,687,"MORTGAGE",150000,"Verified"
10009,12000,15.8,"C","C3","6 years",4282,72.6,667,"MORTGAGE",44600,"Not Verified"
10010,7000,14.27,"C","C2","10+ years",17448,95.3,697,"MORTGAGE",112000,"Not Verified"
10011,20000,8.6,"A","A4","4 years",26863,20.2,762,"MORTGAGE",1e+05,"Source Verified"
10012,7000,6.62,"A","A2","6 years",6761,34.3,752,"MORTGAGE",120000,"Source Verified"
10013,3000,17.27,"C","C5","2 years",4769,50.7,677,"MORTGAGE",72000,"Not Verified"
10014,16500,10.16,"B","B1",NA,19578,75.9,722,"MORTGAGE",36880,"Verified"
10015,8000,14.09,"B","B5","1 year",8761,41.7,707,"RENT",25000,"Verified"
10016,8000,12.12,"B","B3","10+ years",16429,74.3,692,"OWN",73000,"Verified"
10017,13250,15.1,"C","C2","1 year",9861,98.6,697,"MORTGAGE",48000,"Source Verified"
10018,10000,13.11,"B","B4","10+ years",8768,64.9,732,"RENT",65000,"Not Verified"
10019,20050,7.9,"A","A4","4 years",11868,29.4,747,"MORTGAGE",41600,"Verified"
10020,9750,12.12,"B","B3","10+ years",2261,43.5,697,"MORTGAGE",95000,"Verified"
10021,19425,11.55,"B","B3","3 years",19554,65.6,667,"MORTGAGE",75000,"Not Verified"
10022,14000,11.14,"B","B2","8 years",11503,66.1,702,"MORTGAGE",35000,"Not Verified"
10023,11000,11.99,"B","B3","10+ years",5383,71.8,687,"RENT",80000,"Verified"
10024,12400,8.9,"A","A5","10+ years",16186,25.3,737,"MORTGAGE",48000,"Source Verified"
10025,8000,14.09,"B","B5","8 years",5342,71.2,677,"RENT",55000,"Not Verified"
10026,22800,8.9,"A","A5","10+ years",28188,72.8,702,"MORTGAGE",87000,"Verified"
10027,18000,8.9,"A","A5","< 1 year",20806,57.3,737,"OWN",50000,"Verified"
10028,10625,16.78,"C","C5",NA,14084,95.8,667,"RENT",31056,"Verified"
10029,10000,12.12,"B","B3","10+ years",7186,30.3,692,"MORTGAGE",70000,"Verified"
10030,6400,8.9,"A","A5","10+ years",7341,43.4,682,"MORTGAGE",36000,"Not Verified"
10031,5500,20.31,"D","D5","1 year",3010,33.4,662,"OWN",36000,"Verified"
10032,4800,7.9,"A","A4","10+ years",3706,10.7,697,"MORTGAGE",20000,"Not Verified"
10033,12000,7.9,"A","A4","3 years",11153,7.9,797,"MORTGAGE",55000,"Not Verified"
10034,6000,21,"E","E2","4 years",17983,79.6,672,"RENT",70000,"Not Verified"
10035,20000,12.35,"B","B4","3 years",7252,15.5,747,"RENT",95000,"Verified"
10036,10000,10.99,"B","B2","10+ years",17395,90.1,697,"RENT",81000,"Not Verified"
10037,20000,6.62,"A","A2","2 years",32159,32.5,722,"MORTGAGE",76000,"Verified"
10038,9600,23.4,"E","E5","8 years",6125,77.5,662,"RENT",47928,"Source Verified"
10039,15000,13.67,"B","B5","10+ years",12908,69.8,692,"MORTGAGE",90000,"Source Verified"
10040,17500,17.1,"C","C5","5 years",11536,58.3,677,"RENT",66500,"Not Verified"
10041,6000,15.31,"C","C2","6 years",5628,63.2,672,"OWN",60540,"Not Verified"
10042,24000,6.62,"A","A2","3 years",6398,4.8,792,"MORTGAGE",103000,"Verified"
10043,8000,13.98,"C","C1","3 years",23465,85.6,697,"MORTGAGE",62000,"Source Verified"
10044,8000,15.31,"C","C2","3 years",9208,65.3,687,"RENT",25000,"Source Verified"
10045,19000,8.9,"A","A5","7 years",23369,53.5,727,"MORTGAGE",1e+05,"Not Verified"
10046,20000,12.12,"B","B3","1 year",57,0.3,772,"MORTGAGE",150000,"Not Verified"
10047,20000,11.55,"B","B3","2 years",15081,72.5,687,"RENT",62000,"Source Verified"
10048,5500,15.31,"C","C2",NA,3873,54.5,682,"MORTGAGE",20000,"Verified"
10049,17100,16.29,"C","C4","6 years",17174,84.2,677,"MORTGAGE",56800,"Not Verified"
10050,9400,14.09,"B","B5","3 years",5610,24.8,687,"RENT",80000,"Source Verified"
10051,11200,13.11,"B","B4","6 years",11587,64,702,"RENT",1e+05,"Not Verified"
10052,1500,17.27,"C","C5","1 year",2695,62.7,667,"RENT",17500,"Not Verified"
10053,10000,15.81,"C","C4","5 years",12158,87.5,677,"RENT",75000,"Verified"
10054,6850,11.14,"B","B2","1 year",2789,24.7,707,"RENT",25000,"Not Verified"
10055,23000,16.78,"C","C5","10+ years",20739,57,697,"RENT",75000,"Source Verified"
10056,1800,16.29,"C","C4","1 year",3895,39.7,692,"RENT",58333,"Not Verified"
10057,15000,18.75,"D","D3","3 years",14365,97.1,662,"RENT",61812,"Source Verified"
10058,8875,12.12,"B","B3","5 years",12909,58.7,702,"RENT",26000,"Verified"
10059,25000,18.49,"D","D2","10+ years",33173,72.2,682,"RENT",70000,"Verified"
10060,3000,9.67,"B","B1","3 years",4120,30.3,677,"MORTGAGE",19000,"Verified"
10061,5825,14.09,"B","B5",NA,16494,55.7,697,"RENT",20050,"Verified"
10062,6850,8.9,"A","A5","< 1 year",13915,83.3,702,"OWN",22880,"Source Verified"
10063,27250,15.81,"C","C4","10+ years",13293,69.2,707,"MORTGAGE",88000,"Source Verified"
10064,8500,17.27,"C","C5","< 1 year",14868,59.5,667,"RENT",25920,"Not Verified"
10065,19600,21.49,"E","E3","10+ years",8632,52.6,662,"RENT",75000,"Verified"
10066,8000,16.29,"C","C4","6 years",7097,33,692,"RENT",104000,"Not Verified"
10067,3500,12.12,"B","B3","10+ years",1231,24.6,707,"MORTGAGE",74000,"Not Verified"
10068,10200,18.85,"D","D3","3 years",4238,62.3,687,"RENT",38000,"Source Verified"
10069,6950,9.76,"B","B1","6 years",3014,36.3,697,"MORTGAGE",54893.85,"Source Verified"
10070,16000,14.33,"C","C1","3 years",19097,48.8,672,"MORTGAGE",80000,"Not Verified"
10071,6000,15.88,"C","C4","2 years",6785,59.5,682,"RENT",59500,"Verified"
10072,15000,7.9,"A","A4","2 years",5789,25.4,747,"MORTGAGE",65000,"Not Verified"
10073,5000,18.85,"D","D3","8 years",28148,87.1,692,"MORTGAGE",50000,"Verified"
10074,12000,7.62,"A","A3","3 years",19430,58.3,722,"RENT",125000,"Verified"
10075,7000,12.12,"B","B3","10+ years",28393,89.6,687,"RENT",80000,"Verified"
10076,9675,13.11,"B","B4","< 1 year",16294,76.1,682,"RENT",91200,"Verified"
10077,4200,14.33,"C","C1","2 years",5001,37.9,682,"RENT",48500,"Verified"
10078,21000,11.14,"B","B2","9 years",24312,65.2,677,"MORTGAGE",109000,"Verified"
10079,10000,14.09,"B","B5","10+ years",27812,93.3,687,"MORTGAGE",151000,"Source Verified"
10080,18225,18.49,"D","D2","< 1 year",15054,89,672,"RENT",71000,"Verified"
10081,9750,17.77,"D","D1","5 years",6872,88.1,667,"RENT",55000,"Not Verified"
10082,10000,11.55,"B","B3","2 years",8563,51.6,687,"RENT",40000,"Not Verified"
10083,10000,11.14,"B","B2","5 years",10397,48.6,717,"MORTGAGE",54900,"Not Verified"
10084,28000,13.49,"C","C1","2 years",28961,79.1,707,"RENT",90000,"Verified"
10085,6000,11.14,"B","B2","3 years",6013,51.8,662,"MORTGAGE",65000,"Not Verified"
